v = 13
20 25 11
20 26 10
20 27 10
20 28 9
20 29 9
20 30 5
20 31 5
20 32 9
20 33 12
20 34 10
20 35 10
20 36 10
20 37 6
20 38 8
20 39 10
20 40 9
20 41 9
20 42 8
20 43 9
20 44 11
20 45 8
20 46 8
21 22 4
21 23 9
21 24 7
21 25 2
21 26 5
21 27 8
21 28 5
21 29 9
21 30 9
21 31 10
21 32 10
21 33 8
21 34 9
21 35 6
21 36 5
21 37 8
21 38 7
21 39 6
21 40 4
21 41 6
21 42 9
21 43 5
21 44 4
21 45 7
21 46 8
22 23 5
22 24 6
22 25 6
22 26 5
22 27 5
22 28 5
22 29 6
22 30 9
22 31 8
22 32 9
22 33 7
22 34 6
22 35 5
22 36 5
22 37 7
22 38 10
22 39 6
22 40 4
22 41 6
22 42 8
22 43 4
22 44 7
22 45 3
22 46 6
23 24 9
23 25 8
23 26 9
23 27 4
23 28 5
23 29 5
23 30 9
23 31 5
23 32 8
23 33 7
23 34 9
23 35 6
23 36 7
23 37 6
23 38 8
23 39 7
23 40 8
23 41 8
23 42 8
23 43 6
23 44 7
23 45 2
23 46 6
24 25 9
24 26 10
24 27 8
24 28 4
24 29 7
24 30 7
24 31 6
24 32 7
24 33 8
24 34 4
24 35 6
24 36 8
24 37 7
24 38 9
24 39 6
24 40 3
24 41 4
24 42 6
24 43 7
24 44 6
24 45 7
24 46 4
25 26 7
25 27 10
25 28 6
25 29 11
25 30 7
25 31 9
25 32 9
25 33 10
25 34 9
25 35 8
25 36 7
25 37 6
25 38 9
25 39 4
25 40 6
25 41 8
25 42 11
25 43 6
25 44 6
25 45 9
25 46 9
26 27 9
26 28 6
26 29 11
26 30 10
26 31 9
26 32 11
26 33 10
26 34 10
26 35 9
26 36 10
26 37 9
26 38 12
26 39 8
26 40 7
26 41 9
26 42 10
26 43 9
26 44 5
26 45 8
26 46 10
27 28 6
27 29 5
27 30 8
27 31 9
27 32 8
27 33 7
27 34 9
27 35 7
27 36 3
27 37 6
27 38 9
27 39 6
27 40 7
27 41 8
27 42 8
27 43 8
27 44 4
27 45 2
27 46 6
28 29 6
28 30 4
28 31 5
28 32 7
28 33 8
28 34 6
28 35 4
28 36 7
28 37 3
28 38 8
28 39 2
28 40 6
28 41 6
28 42 7
28 43 4
28 44 2
28 45 5
28 46 5
29 30 7
29 31 6
29 32 9
29 33 8
29 34 5
29 35 6
29 36 4
29 37 5
29 38 9
29 39 8
29 40 8
29 41 7
29 42 3
29 43 7
29 44 8
29 45 3
29 46 4
30 31 8
30 32 8
30 33 8
30 34 7
30 35 6
30 36 9
30 37 7
30 38 9
30 39 6
30 40 6
30 41 6
30 42 9
30 43 6
30 44 6
30 45 7
30 46 3
31 32 6
31 33 10
31 34 5
31 35 6
31 36 7
31 37 8
31 38 3
31 39 5
31 40 8
31 41 6
31 42 3
31 43 7
31 44 7
31 45 7
31 46 5
32 33 10
32 34 7
32 35 8
32 36 5
32 37 6
32 38 7
32 39 5
32 40 9
32 41 7
32 42 9
32 43 7
32 44 9
32 45 6
32 46 5
33 34 9
33 35 8
33 36 6
33 37 8
33 38 10
33 39 8
33 40 9
33 41 10
33 42 11
33 43 6
33 44 10
33 45 5
33 46 8
34 35 5
34 36 9
34 37 5
34 38 8
34 39 8
34 40 6
34 41 4
34 42 2
34 43 7
34 44 7
34 45 7
34 46 4
35 36 8
35 37 5
35 38 9
35 39 6
35 40 4
35 41 2
35 42 3
35 43 6
35 44 6
35 45 6
35 46 3
36 37 5
36 38 8
36 39 5
36 40 5
36 41 7
36 42 7
36 43 5
36 44 5
36 45 5
36 46 6
37 38 9
37 39 5
37 40 5
37 41 3
37 42 7
37 43 4
37 44 5
37 45 4
37 46 4
38 39 8
38 40 7
38 41 9
38 42 6
38 43 9
38 44 10
38 45 9
38 46 6
39 40 7
39 41 6
39 42 8
39 43 2
39 44 4
39 45 5
39 46 5
40 41 2
40 42 5
40 43 5
40 44 4
40 45 7
40 46 5
41 42 5
41 43 4
41 44 6
41 45 7
41 46 3
42 43 9
42 44 9
42 45 6
42 46 6
43 44 4
43 45 7
43 46 3
44 45 6
44 46 7
45 46 4
