v = 34
10 28 3
10 29 9
10 30 6
10 31 6
10 32 7
10 33 5
10 34 7
10 35 6
10 36 10
10 37 8
10 38 8
10 39 10
10 40 6
10 41 8
10 42 8
11 12 6
11 13 10
11 14 5
11 15 4
11 16 6
11 17 7
11 18 9
11 19 8
11 20 6
11 21 9
11 22 6
11 23 9
11 24 4
11 25 2
11 26 6
11 27 4
11 28 8
11 29 6
11 30 6
11 31 5
11 32 7
11 33 5
11 34 8
11 35 5
11 36 6
11 37 3
11 38 2
11 39 4
11 40 6
11 41 6
11 42 7
12 13 11
12 14 8
12 15 7
12 16 8
12 17 7
12 18 9
12 19 9
12 20 7
12 21 8
12 22 7
12 23 10
12 24 7
12 25 4
12 26 7
12 27 6
12 28 5
12 29 7
12 30 4
12 31 5
12 32 9
12 33 10
12 34 9
12 35 2
12 36 7
12 37 8
12 38 5
12 39 6
12 40 8
12 41 8
12 42 8
13 14 13
13 15 8
13 16 7
13 17 11
13 18 9
13 19 12
13 20 10
13 21 8
13 22 8
13 23 10
13 24 9
13 25 10
13 26 4
13 27 11
13 28 9
13 29 9
13 30 9
13 31 9
13 32 10
13 33 8
13 34 10
13 35 11
13 36 10
13 37 9
13 38 10
13 39 9
13 40 6
13 41 11
13 42 8
14 15 5
14 16 7
14 17 7
14 18 10
14 19 9
14 20 8
14 21 5
14 22 11
14 23 5
14 24 5
14 25 7
14 26 9
14 27 9
14 28 8
14 29 8
14 30 8
14 31 9
14 32 10
14 33 8
14 34 10
14 35 6
14 36 11
14 37 8
14 38 3
14 39 9
14 40 7
14 41 11
14 42 8
15 16 6
15 17 5
15 18 6
15 19 5
15 20 3
15 21 8
15 22 8
15 23 6
15 24 4
15 25 5
15 26 4
15 27 8
15 28 5
15 29 9
15 30 7
15 31 5
15 32 6
15 33 4
15 34 5
15 35 5
15 36 8
15 37 4
15 38 2
15 39 7
15 40 2
15 41 8
15 42 7
16 17 5
16 18 3
16 19 7
16 20 5
16 21 10
16 22 5
16 23 8
16 24 2
16 25 5
16 26 3
16 27 7
16 28 7
16 29 8
16 30 9
16 31 3
16 32 9
16 33 7
16 34 3
16 35 7
16 36 8
16 37 6
16 38 4
16 39 7
16 40 5
16 41 9
16 42 5
17 18 8
17 19 2
17 20 4
17 21 6
17 22 10
17 23 6
17 24 3
17 25 9
17 26 7
17 27 5
17 28 8
17 29 9
17 30 7
17 31 6
17 32 5
17 33 3
17 34 6
17 35 5
17 36 9
17 37 7
17 38 5
17 39 11
17 40 5
17 41 7
17 42 8
18 19 10
18 20 8
18 21 7
18 22 6
18 23 6
18 24 5
18 25 8
18 26 6
18 27 10
18 28 4
18 29 10
18 30 9
18 31 6
18 32 11
18 33 9
18 34 6
18 35 7
18 36 11
18 37 6
18 38 7
18 39 10
18 40 7
18 41 11
18 42 6
19 20 2
19 21 8
19 22 8
19 23 4
19 24 5
19 25 7
19 26 8
19 27 7
19 28 8
19 29 8
19 30 9
19 31 4
19 32 5
19 33 5
19 34 4
19 35 7
19 36 8
19 37 7
19 38 7
19 39 9
19 40 7
19 41 7
19 42 6
20 21 6
20 22 6
20 23 3
20 24 6
20 25 6
20 26 6
20 27 5
20 28 6
20 29 6
20 30 7
20 31 2
20 32 6
20 33 7
20 34 2
20 35 8
20 36 6
20 37 5
20 38 5
20 39 8
20 40 5
20 41 7
20 42 4
21 22 8
21 23 6
21 24 9
21 25 9
21 26 7
21 27 10
21 28 3
21 29 3
21 30 8
21 31 7
21 32 5
21 33 7
21 34 7
21 35 6
21 36 8
21 37 9
21 38 8
21 39 10
21 40 6
21 41 7
21 42 9
22 23 9
22 24 7
22 25 6
22 26 4
22 27 9
22 28 9
22 29 6
22 30 8
22 31 5
22 32 8
22 33 8
22 34 5
22 35 6
22 36 6
22 37 8
22 38 8
22 39 8
22 40 6
22 41 7
22 42 3
23 24 9
23 25 9
23 26 8
23 27 8
23 28 9
23 29 7
23 30 10
23 31 5
23 32 6
23 33 8
23 34 5
23 35 8
23 36 9
23 37 7
23 38 8
23 39 11
23 40 8
23 41 7
23 42 7
24 25 6
24 26 5
24 27 8
24 28 8
24 29 9
24 30 7
24 31 4
24 32 8
24 33 6
24 34 5
24 35 5
24 36 9
24 37 4
24 38 2
24 39 8
24 40 6
24 41 9
24 42 7
25 26 6
25 27 6
25 28 7
25 29 6
25 30 6
25 31 5
25 32 6
25 33 7
25 34 8
25 35 6
25 36 6
25 37 5
25 38 4
25 39 2
25 40 7
25 41 4
25 42 9
26 27 10
26 28 5
26 29 5
26 30 9
26 31 5
26 32 6
26 33 4
26 34 6
26 35 8
26 36 6
26 37 5
26 38 6
26 39 5
26 40 2
26 41 7
26 42 7
27 28 7
27 29 10
27 30 2
27 31 7
27 32 6
27 33 8
27 34 4
27 35 4
27 36 6
27 37 7
27 38 6
27 39 6
27 40 10
27 41 4
27 42 6
28 29 6
28 30 5
28 31 4
28 32 7
28 33 5
28 34 4
28 35 3
28 36 9
28 37 7
28 38 6
28 39 9
28 40 3
28 41 9
28 42 6
29 30 9
29 31 5
29 32 8
29 33 9
29 34 8
29 35 7
29 36 5
29 37 8
29 38 8
29 39 8
29 40 7
29 41 7
29 42 8
30 31 8
30 32 8
30 33 10
30 34 6
30 35 2
30 36 4
30 37 8
30 38 5
30 39 4
30 40 8
30 41 6
30 42 8
31 32 7
31 33 7
31 34 4
31 35 7
31 36 5
31 37 3
31 38 6
31 39 7
31 40 7
31 41 6
31 42 6
32 33 2
32 34 7
32 35 10
32 36 8
32 37 7
32 38 7
32 39 8
32 40 4
32 41 2
32 42 9
33 34 5
33 35 8
33 36 10
33 37 7
33 38 5
33 39 9
33 40 2
33 41 4
33 42 7
34 35 7
34 36 8
34 37 5
34 38 7
34 39 9
34 40 7
34 41 8
34 42 2
35 36 6
35 37 6
35 38 3
35 39 6
35 40 6
35 41 8
35 42 8
36 37 8
36 38 8
36 39 8
36 40 8
36 41 7
36 42 9
37 38 5
37 39 4
37 40 6
37 41 5
37 42 7
38 39 6
38 40 4
38 41 8
38 42 5
39 40 7
39 41 6
39 42 11
40 41 6
40 42 9
41 42 7
